,bps,total_points,games,time,goals,xG,assists,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,opp_shots,opp_goals,opp_xG,opp_against_shots,opp_against_goals,opp_against_xG
13569,0,0,23,1770,5,3.9280984150245786,4,2.7044622469693422,37,17,5,3.9280984150245786,7.433676986023784,2.7403341960161924,617,72,84.13641863968223,394,53,56.97241372987628
13571,0,0,11,565,0,0.1604539966210723,0,0.3491519913077354,6,6,0,0.1604539966210723,0.9701165091246368,0.8328676056116819,464,48,51.998012396506965,529,78,71.88791078515351
13572,3,1,20,1350,0,0.2323515973985195,0,0.0846685543656349,3,3,0,0.2323515973985195,7.236471671611071,7.146713148802519,427,40,43.76600298844278,459,49,55.09286420047283
13573,3,1,20,1350,0,0.2323515973985195,0,0.0846685543656349,3,3,0,0.2323515973985195,7.236471671611071,7.146713148802519,464,48,51.998012396506965,529,78,71.88791078515351
13575,5,2,35,1819,5,5.535292422398925,2,1.2745107971131802,39,17,5,5.535292422398925,7.545081002637744,2.812871368601918,594,58,75.74508742708713,480,43,51.70642548147589
13581,6,1,11,480,0,0.0,0,0.2822478041052818,0,2,0,0.0,0.5764240063726902,0.3181040026247501,464,48,51.998012396506965,529,78,71.88791078515351
13582,3,1,22,353,0,1.1292364411056042,1,1.5604944918304682,11,9,0,1.1292364411056042,3.589391114190221,1.5997926257550716,475,42,52.75659039057791,501,55,56.92689578980208
13583,-1,2,22,594,5,5.5473707262426615,0,1.1680052187293768,27,8,5,5.5473707262426615,7.276752598583698,1.4865605253726244,357,37,40.80111336475238,627,71,72.09495181264356
13585,4,1,33,929,2,1.549193875864148,0,1.6246961504220965,21,12,2,1.549193875864148,5.840297954156995,3.505937293171882,483,38,53.08860981464386,441,47,58.29535513930023
13586,11,2,24,1344,2,1.833498403429985,4,2.921407464891672,22,22,2,1.833498403429985,5.230319026857615,1.9364304393529888,370,38,42.29227340361104,557,68,69.67875737557188
13587,32,9,24,1344,2,1.833498403429985,4,2.921407464891672,22,22,2,1.833498403429985,5.230319026857615,1.9364304393529888,594,58,75.74508742708713,480,43,51.70642548147589
13589,14,2,31,2508,2,2.0692426282912493,0,0.5055976919829845,8,5,2,2.0692426282912493,4.307535422034562,3.9094908265396953,617,72,84.13641863968223,394,53,56.97241372987628
13590,21,1,31,2365,3,2.239441570825875,2,4.528865018859506,31,30,2,0.7171045774593949,14.306540120393038,11.20656917989254,432,51,53.06513203680515,433,46,59.01182442111895
